ID,Sample_ID,Name,Time,Value,Percentage
1,314,Kanywani,2,291.962,100.000
1,315,Kanywani,4,309.807,106.112
1,316,Kanywani,6,290.539,99.513
1,317,Kanywani,8,241.400,82.682
1,302,Kanywani,10,212.383,72.743
1,312,Kanywani,12,330.954,113.355
1,313,Kanywani,14,247.514,84.776
2,303,Kabukojo,2,192.6418899,100.000
2,318,Kabukojo,4,456.5485451,236.993
2,319,Kabukojo,6,375.8743878,195.116
2,320,Kabukojo,8,253.8403918,131.768
2,321,Kabukojo,10,390.6597522,202.791
2,322,Kabukojo,12,252.0887352,130.859
2,323,Kabukojo,14,325.0590608,168.737
3,326,Ruterana,2,193.852,100.000
3,327,Ruterana,4,262.224,135.270
3,328,Ruterana,6,276.197,142.478
3,329,Ruterana,8,248.643,128.264
3,304,Ruterana,10,207.865,107.229
3,324,Ruterana,12,240.859,124.249
3,325,Ruterana,14,266.557,137.506
4,332,Kibande,2,194.255,100.000
4,333,Kibande,4,176.698,90.962
4,334,Kibande,6,187.122,96.328
4,335,Kibande,8,229.790,118.293
4,305,Kibande,10,130.527,67.194
4,330,Kibande,12,158.335,81.509
4,331,Kibande,14,217.978,112.212
5,306,Kabunga,2,180.328,100.000
5,336,Kabunga,4,260.392,144.399
5,337,Kabunga,6,198.796,110.241
5,338,Kabunga,8,157.407,87.289
5,339,Kabunga,10,179.228,99.390
5,340,Kabunga,12,192.239,106.605
5,341,Kabunga,14,161.804,89.727
6,729,Nyampazi,2,1207.957,100.000
6,734,Nyampazi,4,530.455,43.913
6,735,Nyampazi,6,412.456,34.145
6,736,Nyampazi,8,338.597,28.031
6,737,Nyampazi,10,412.456,34.145
6,738,Nyampazi,12,337.632,27.951
6,739,Nyampazi,14,448.340,37.116
7,730,Munyana,2,554.191,100.000
7,740,Munyana,4,554.191,100.000
7,741,Munyana,6,239.323,43.184
7,742,Munyana,8,552.312,99.661
7,743,Munyana,10,465.653,84.024
7,744,Munyana,12,405.017,73.083
7,745,Munyana,14,273.711,49.389
8,731,Kanywani,2,256.130,100.000
8,746,Kanywani,4,323.598,126.341
8,747,Kanywani,6,319.086,124.580
8,748,Kanywani,8,242.441,94.655
8,749,Kanywani,10,196.971,76.903
8,750,Kanywani,12,335.715,131.072
8,751,Kanywani,14,258.846,101.060
9,732,Kibande,2,303.512,100.000
9,752,Kibande,4,467.135,153.910
9,753,Kibande,6,316.421,104.253
9,754,Kibande,8,381.467,125.684
9,755,Kibande,10,408.711,134.661
9,756,Kibande,12,361.809,119.207
9,757,Kibande,14,346.445,114.146
10,733,Kabukojo,2,1041.368,100.000
10,758,Kabukojo,4,408.711,39.247
10,759,Kabukojo,6,458.329,44.012
10,760,Kabukojo,8,434.574,41.731
10,761,Kabukojo,10,281.936,27.074
10,762,Kabukojo,12,354.529,34.045
10,763,Kabukojo,14,322.684,30.987
